ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
ABCG2,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ACAT1,acetyl-CoA acetyltransferase 1
ACKR3,atypical chemokine receptor 3
ACVRL1,activin A receptor type II-like 1
ADAMTS2,"ADAM metallopeptidase with thrombospondin type 1 motif, 2"
ADIPOQ,"adiponectin, C1Q and collagen domain containing"
ADM,adrenomedullin
ADRA2C,adrenoceptor alpha 2C
AGER,advanced glycosylation end product-specific receptor
AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
AIMP1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
AKT1,v-akt murine thymoma viral oncogene homolog 1
AKT2,v-akt murine thymoma viral oncogene homolog 2
ALK,anaplastic lymphoma receptor tyrosine kinase
ALOX5,arachidonate 5-lipoxygenase
ANGPT1,angiopoietin 1
ANGPT2,angiopoietin 2
ANKH,ANKH inorganic pyrophosphate transport regulator
ANXA1,annexin A1
APOA1,apolipoprotein A-I
APOB,apolipoprotein B
APP,amyloid beta (A4) precursor protein
AR,androgen receptor
ARR3,"arrestin 3, retinal (X-arrestin)"
ATF1,activating transcription factor 1
ATF2,activating transcription factor 2
ATF3,activating transcription factor 3
ATM,ATM serine/threonine kinase
ATN1,atrophin 1
ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide"
ATP6V0C,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"
ATXN1,ataxin 1
AXIN1,axin 1
BACH1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1"
BAG3,BCL2-associated athanogene 3
BAX,BCL2-associated X protein
BBC3,BCL2 binding component 3
BCL2,B-cell CLL/lymphoma 2
BCL2L1,BCL2-like 1
BCL2L11,BCL2-like 11 (apoptosis facilitator)
BECN1,"beclin 1, autophagy related"
BID,BH3 interacting domain death agonist
BIRC2,baculoviral IAP repeat containing 2
BIRC3,baculoviral IAP repeat containing 3
BMF,Bcl2 modifying factor
BMP2,bone morphogenetic protein 2
BMP4,bone morphogenetic protein 4
BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
CARD11,"caspase recruitment domain family, member 11"
CARD8,"caspase recruitment domain family, member 8"
CASP2,"caspase 2, apoptosis-related cysteine peptidase"
CASP3,"caspase 3, apoptosis-related cysteine peptidase"
CASR,calcium-sensing receptor
CAV1,"caveolin 1, caveolae protein, 22kDa"
CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase"
CBLB,"Cbl proto-oncogene B, E3 ubiquitin protein ligase"
CCDC134,coiled-coil domain containing 134
CCDC88C,coiled-coil domain containing 88C
CCL15,chemokine (C-C motif) ligand 15
CCL2,chemokine (C-C motif) ligand 2
CCL20,chemokine (C-C motif) ligand 20
CCL5,chemokine (C-C motif) ligand 5
CCNA1,cyclin A1
CCNB1,cyclin B1
CCND1,cyclin D1
CD274,CD274 molecule
CD36,CD36 molecule (thrombospondin receptor)
CD38,CD38 molecule
CD40,"CD40 molecule, TNF receptor superfamily member 5"
CD44,CD44 molecule (Indian blood group)
CD86,CD86 molecule
CD99,CD99 molecule
CDH1,"cadherin 1, type 1, E-cadherin (epithelial)"
CDK1,cyclin-dependent kinase 1
CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
CDKN2A,cyclin-dependent kinase inhibitor 2A
CERK,ceramide kinase
CFLAR,CASP8 and FADD-like apoptosis regulator
CHUK,conserved helix-loop-helix ubiquitous kinase
CLDN2,claudin 2
CLECL1,C-type lectin-like 1
CNKSR1,connector enhancer of kinase suppressor of Ras 1
COL1A1,"collagen, type I, alpha 1"
CPT1A,carnitine palmitoyltransferase 1A (liver)
CREBBP,CREB binding protein
CREG1,cellular repressor of E1A-stimulated genes 1
CRP,"C-reactive protein, pentraxin-related"
CSNK2A1,"casein kinase 2, alpha 1 polypeptide"
CTGF,connective tissue growth factor
CTNNA1,"catenin (cadherin-associated protein), alpha 1, 102kDa"
CTSK,cathepsin K
CTSV,cathepsin V
CTTN,cortactin
CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
CXCL12,chemokine (C-X-C motif) ligand 12
CXCL8,chemokine (C-X-C motif) ligand 8
CYBB,"cytochrome b-245, beta polypeptide"
CYLD,cylindromatosis (turban tumor syndrome)
CYP27A1,"cytochrome P450, family 27, subfamily A, polypeptide 1"
CYP4F11,"cytochrome P450, family 4, subfamily F, polypeptide 11"
DAB2,"Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)"
DAB2IP,DAB2 interacting protein
DAPK1,death-associated protein kinase 1
DAXX,death-domain associated protein
DCP1A,decapping mRNA 1A
DEFB4A,"defensin, beta 4A"
DIXDC1,DIX domain containing 1
DKK1,dickkopf WNT signaling pathway inhibitor 1
DKK3,dickkopf WNT signaling pathway inhibitor 3
DUSP1,dual specificity phosphatase 1
DUSP10,dual specificity phosphatase 10
DUSP16,dual specificity phosphatase 16
DUSP4,dual specificity phosphatase 4
DUSP8,dual specificity phosphatase 8
DVL1,dishevelled segment polarity protein 1
E2F1,E2F transcription factor 1
EDN1,endothelin 1
EFNB1,ephrin-B1
EGF,epidermal growth factor
EGFR,epidermal growth factor receptor
EGR1,early growth response 1
EIF2AK2,eukaryotic translation initiation factor 2-alpha kinase 2
EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1
ELK1,"ELK1, member of ETS oncogene family"
ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2
EPAS1,endothelial PAS domain protein 1
EPHA2,EPH receptor A2
ERN1,endoplasmic reticulum to nucleus signaling 1
ETS1,v-ets avian erythroblastosis virus E26 oncogene homolog 1
EXOC4,exocyst complex component 4
F2R,coagulation factor II (thrombin) receptor
F2RL1,coagulation factor II (thrombin) receptor-like 1
F3,"coagulation factor III (thromboplastin, tissue factor)"
FAS,Fas cell surface death receptor
FBXW7,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"
FGD1,"FYVE, RhoGEF and PH domain containing 1"
FGF2,fibroblast growth factor 2 (basic)
FGF7,fibroblast growth factor 7
FGFR4,fibroblast growth factor receptor 4
FLNB,"filamin B, beta"
FOS,FBJ murine osteosarcoma viral oncogene homolog
FOXO1,forkhead box O1
FOXO3,forkhead box O3
FOXO4,forkhead box O4
FPR2,formyl peptide receptor 2
FSCN1,fascin actin-bundling protein 1
FTH1,"ferritin, heavy polypeptide 1"
GADD45A,"growth arrest and DNA-damage-inducible, alpha"
GADD45B,"growth arrest and DNA-damage-inducible, beta"
GADD45G,"growth arrest and DNA-damage-inducible, gamma"
GAS6,growth arrest-specific 6
GCK,glucokinase (hexokinase 4)
GCLC,"glutamate-cysteine ligase, catalytic subunit"
GDF15,growth differentiation factor 15
GIP,gastric inhibitory polypeptide
GJA1,"gap junction protein, alpha 1, 43kDa"
GNA12,guanine nucleotide binding protein (G protein) alpha 12
GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide"
GNAS,GNAS complex locus
GNB2L1,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
GPC6,glypican 6
GPS2,G protein pathway suppressor 2
GRIPAP1,GRIP1 associated protein 1
GSK3A,glycogen synthase kinase 3 alpha
GSK3B,glycogen synthase kinase 3 beta
GSTA1,glutathione S-transferase alpha 1
GSTP1,glutathione S-transferase pi 1
HBEGF,heparin-binding EGF-like growth factor
HDAC3,histone deacetylase 3
HGF,hepatocyte growth factor (hepapoietin A; scatter factor)
HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"
HIPK2,homeodomain interacting protein kinase 2
HIPK3,homeodomain interacting protein kinase 3
HMGB1,high mobility group box 1
HMOX1,heme oxygenase 1
HNF4A,"hepatocyte nuclear factor 4, alpha"
HRAS,Harvey rat sarcoma viral oncogene homolog
HRH1,histamine receptor H1
HSF1,heat shock transcription factor 1
HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1"
HSPA1A,heat shock 70kDa protein 1A
HSPA1B,heat shock 70kDa protein 1B
HSPA4,heat shock 70kDa protein 4
HSPA5,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)"
ICAM1,intercellular adhesion molecule 1
ID1,"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
IDO1,"indoleamine 2,3-dioxygenase 1"
IFIT3,interferon-induced protein with tetratricopeptide repeats 3
IFN1@,"interferon, type 1, cluster"
IFNA1,"interferon, alpha 1"
IFNG,"interferon, gamma"
IGF1,insulin-like growth factor 1 (somatomedin C)
IGFBP6,insulin-like growth factor binding protein 6
IL10,interleukin 10
IL15,interleukin 15
IL15RA,"interleukin 15 receptor, alpha"
IL17A,interleukin 17A
IL17RD,interleukin 17 receptor D
IL18,interleukin 18
IL1A,"interleukin 1, alpha"
IL1B,"interleukin 1, beta"
IL22,interleukin 22
IL24,interleukin 24
IL25,interleukin 25
IL27,interleukin 27
IL31RA,interleukin 31 receptor A
IL6,interleukin 6
ILK,integrin-linked kinase
INS,insulin
IRF1,interferon regulatory factor 1
IRF3,interferon regulatory factor 3
IRS1,insulin receptor substrate 1
ITGA1,"integrin, alpha 1"
ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
JAK2,Janus kinase 2
JUN,jun proto-oncogene
KCNN4,"potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 4"
KDR,kinase insert domain receptor
KIR2DS2,"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2"
KLF2,Kruppel-like factor 2
KLF5,Kruppel-like factor 5 (intestinal)
KRAS,Kirsten rat sarcoma viral oncogene homolog
KRT14,"keratin 14, type I"
LAIR1,leukocyte-associated immunoglobulin-like receptor 1
LAMA1,"laminin, alpha 1"
LDLR,low density lipoprotein receptor
LEP,leptin
LGALS3BP,"lectin, galactoside-binding, soluble, 3 binding protein"
LRP1,low density lipoprotein receptor-related protein 1
LY96,lymphocyte antigen 96
MAD2L2,MAD2 mitotic arrest deficient-like 2 (yeast)
MALT1,MALT1 paracaspase
MAP1LC3A,microtubule-associated protein 1 light chain 3 alpha
MAP2K1,mitogen-activated protein kinase kinase 1
MAP2K2,mitogen-activated protein kinase kinase 2
MAP2K3,mitogen-activated protein kinase kinase 3
MAP2K4,mitogen-activated protein kinase kinase 4
MAP2K6,mitogen-activated protein kinase kinase 6
MAP2K7,mitogen-activated protein kinase kinase 7
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"
MAP3K10,mitogen-activated protein kinase kinase kinase 10
MAP3K11,mitogen-activated protein kinase kinase kinase 11
MAP3K4,mitogen-activated protein kinase kinase kinase 4
MAP3K5,mitogen-activated protein kinase kinase kinase 5
MAP3K7,mitogen-activated protein kinase kinase kinase 7
MAP3K8,mitogen-activated protein kinase kinase kinase 8
MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4
MAPK1,mitogen-activated protein kinase 1
MAPK10,mitogen-activated protein kinase 10
MAPK14,mitogen-activated protein kinase 14
MAPK3,mitogen-activated protein kinase 3
MAPK8,mitogen-activated protein kinase 8
MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1
MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3
MAPK9,mitogen-activated protein kinase 9
MAPT,microtubule-associated protein tau
MARVELD2,MARVEL domain containing 2
MC4R,melanocortin 4 receptor
MCL1,myeloid cell leukemia 1
MDM2,"MDM2 proto-oncogene, E3 ubiquitin protein ligase"
MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor)
MINA,MYC induced nuclear antigen
MIR155HG,MIR155 host gene
MMP1,matrix metallopeptidase 1
MMP13,matrix metallopeptidase 13
MMP14,matrix metallopeptidase 14 (membrane-inserted)
MMP2,matrix metallopeptidase 2
MMP26,matrix metallopeptidase 26
MMP3,matrix metallopeptidase 3
MMP9,matrix metallopeptidase 9
MSH2,mutS homolog 2
MSN,moesin
MST1,macrophage stimulating 1
MTOR,mechanistic target of rapamycin (serine/threonine kinase)
MUC2,"mucin 2, oligomeric mucus/gel-forming"
MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming"
MUC8,mucin 8
MVP,major vault protein
MYC,v-myc avian myelocytomatosis viral oncogene homolog
MYD88,myeloid differentiation primary response 88
MYOC,"myocilin, trabecular meshwork inducible glucocorticoid response"
NAMPT,nicotinamide phosphoribosyltransferase
NCOR1,nuclear receptor corepressor 1
NELL1,NEL-like 1 (chicken)
NFE2L2,"nuclear factor, erythroid 2-like 2"
NFKB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
NGFR,nerve growth factor receptor
NLRP3,"NLR family, pyrin domain containing 3"
NMI,N-myc (and STAT) interactor
NOS2,"nitric oxide synthase 2, inducible"
NOS3,nitric oxide synthase 3 (endothelial cell)
NOTCH1,notch 1
NOV,nephroblastoma overexpressed
NOX1,NADPH oxidase 1
NOX3,NADPH oxidase 3
NOX4,NADPH oxidase 4
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
NR2C2,"nuclear receptor subfamily 2, group C, member 2"
NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)"
NR4A1,"nuclear receptor subfamily 4, group A, member 1"
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1"
NTRK2,"neurotrophic tyrosine kinase, receptor, type 2"
OCLN,occludin
OPRK1,"opioid receptor, kappa 1"
OPRL1,opiate receptor-like 1
OPRM1,"opioid receptor, mu 1"
