Geneid,AK079M,AK083M,AK095M,AK096M
ENSG00000186092,0,0,0,0
ENSG00000279928,9.56,9.56,16.82,18.91
ENSG00000279457,275.07,323.73,488.02,395.43
ENSG00000278566,0.97,0,0.33,1.42
ENSG00000273547,0.97,0,0.33,1.42
ENSG00000187634,109,445,756.5,342.5
ENSG00000188976,1205.83,4894.67,6405.83,2314.17
ENSG00000187961,352,493.5,797,811
ENSG00000187583,173,187,462,340
ENSG00000187642,25,7,6,30
ENSG00000188290,1080,800,1228,1992
ENSG00000187608,76,106,216,102
ENSG00000188157,4714,12902.08,21848.5,8518
ENSG00000237330,32,8,3,20
ENSG00000131591,70,128,306.5,151
ENSG00000162571,6,0,0,0
ENSG00000186891,2,1,2,5
ENSG00000186827,12,1,4,14
ENSG00000078808,425,1996.5,2744,931
ENSG00000176022,350,264,480,643.5
ENSG00000184163,19,9,31,33.5
ENSG00000160087,256.5,634.5,778.5,613.5
ENSG00000162572,42,48,121,113
ENSG00000131584,335,749,1212,745
ENSG00000169972,149,340,495,261
ENSG00000127054,676,1830.5,2480,1224
ENSG00000224051,101,243,345,301
ENSG00000169962,19,4,24,33.12
ENSG00000107404,1502,2152,3503,3216.5
ENSG00000162576,2,1,4,8
ENSG00000175756,436,1632,2199,1078
ENSG00000221978,1089,1285.5,1845.5,1862
ENSG00000242485,396,947,1127,691
ENSG00000235098,0,1,0,0
ENSG00000205116,0,0.5,2,0
ENSG00000179403,34,406,531,101
ENSG00000215915,27.98,93.07,131.45,65.88
ENSG00000160072,71.98,210.4,310.4,170.1
ENSG00000197785,378.47,1226.98,1588.5,962.01
ENSG00000205090,6,8,18,20
ENSG00000160075,380,1354,1656,838
ENSG00000279244,0,0,0,0.5
ENSG00000228594,8,50,95,44
ENSG00000197530,205,544.5,904,425
ENSG00000189409,10,19.5,21,12
ENSG00000248333,373.37,889.02,1066.75,563.67
ENSG00000189339,96.25,209,343.17,145.98
ENSG00000008128,323.96,585.81,665.66,430.67
ENSG00000215790,69.75,152.5,214.83,124.02
ENSG00000008130,599,994.5,1505.5,941
ENSG00000078369,539,4355.33,5416.17,1177
ENSG00000169885,6,6,9,6
ENSG00000178821,4,5,13,17
ENSG00000142609,6,6,4,0.38
ENSG00000187730,0,4,12,2
ENSG00000067606,62,270,402,181
ENSG00000162585,243,469,823.67,559
ENSG00000157933,613,1244,1821.5,1459
ENSG00000116151,84,129,169,180
ENSG00000157916,184,940.5,1029.5,395
ENSG00000157911,207,365,597,436
ENSG00000149527,15,51,69,48
ENSG00000157881,344,481,705.5,536
ENSG00000197921,0,0,0,0
ENSG00000157873,7,1,0,10
ENSG00000157870,74,198,384,248
ENSG00000142606,0,0,1,2
ENSG00000215912,21,17,30,28
ENSG00000169717,0,0,0,0
ENSG00000142611,7,45,59,29
ENSG00000130762,52,277,471,88
ENSG00000162591,246,1080,1368,325
ENSG00000158109,143,276,456,248
ENSG00000116213,164,468,670,305
ENSG00000078900,2,18,28,3
ENSG00000162592,0,0,0,0
ENSG00000235169,0,2,7,1
ENSG00000130764,596,1423,2070.5,1433
ENSG00000116198,192,652,836,304
ENSG00000169598,21,96,139.5,62
ENSG00000198912,221,494,579,497
ENSG00000196581,0,0,0,2
ENSG00000131697,103,512,770,282
ENSG00000069424,32,570,585,102
ENSG00000116254,28,91,99.5,44
ENSG00000116251,606.23,2432.33,2579.43,1084.3
ENSG00000158286,333,621,868,732
ENSG00000116237,132,654,864,290
ENSG00000173673,0,0,0,0
ENSG00000158292,3,38,79,18
ENSG00000097021,142,2116.5,2718,366.83
ENSG00000069812,11,15,8,15
ENSG00000187017,6,3,10,1
ENSG00000215788,45,53,124,80
ENSG00000171680,112,189,405.5,287
ENSG00000162408,286,843,982,542
ENSG00000173662,0,0,0,0
ENSG00000204859,359,289,415,493
ENSG00000162413,848.5,586,925,2066
ENSG00000116273,161,248,338,473.5
ENSG00000041988,257,269,336,490
ENSG00000007923,272,1351.5,1709,693
ENSG00000171735,75,255.67,362,147
ENSG00000049245,88,346,443,167
ENSG00000049246,69,118,127,116
ENSG00000049247,0,0,0,0
ENSG00000049249,61,53,139,74
ENSG00000116288,356.83,2912.67,3278.67,926
ENSG00000116285,1212,2149,2008,1094
ENSG00000162426,61,149,195,51
ENSG00000142599,371,1892,2272,957
ENSG00000074800,6104.17,42668.67,51636,13015
ENSG00000131686,0,0,0,0
ENSG00000197241,0,1,1,2
ENSG00000142583,1,2,0,0
ENSG00000180758,116,119,189,239
ENSG00000049239,91,484,884,189
ENSG00000171621,235,492,675,688
ENSG00000171612,90,142.5,130,152
ENSG00000188807,274,644,830,679
ENSG00000171608,471,520,894,719
ENSG00000171603,356,3368,5415,1078
ENSG00000280113,0,0,0,0
ENSG00000178585,7,46,105,25
ENSG00000162441,97,230.5,204,132
ENSG00000173614,11,31,49,13
ENSG00000162444,12,18,19,23
ENSG00000130939,113,1158,1279.5,229
ENSG00000054523,379,1491,1862,621
ENSG00000142657,1953,24617.92,27996.08,5824.83
ENSG00000251503,39.5,123,124.17,56.5
ENSG00000175279,17.5,90.5,76.67,33
ENSG00000241563,7,25.5,39.17,11.5
ENSG00000160049,190,657,935.5,422
ENSG00000142655,27,325,506,105
ENSG00000130940,141,117,321,232
ENSG00000175262,1,0,1,0
ENSG00000120948,699,1758.17,2191,1069
ENSG00000277726,454.5,1086.5,1379,657.67
ENSG00000009724,71,8,12,30
ENSG00000116649,853,2807,3890.5,1852
ENSG00000171824,490.5,1637,1994,922
ENSG00000198793,471,2184.5,2998.5,873
ENSG00000171819,0,0,0,0
ENSG00000120942,368,557,737,635
ENSG00000204624,7,6,13,0
ENSG00000116661,12,43,32,17
ENSG00000132879,82.5,233,308,166
ENSG00000116663,20.5,75,112.5,51
ENSG00000116670,74,400,518,249
ENSG00000162490,0,0,3,0
ENSG00000177674,130,590.5,703,363
ENSG00000215910,0,0,0,4.67
ENSG00000177000,165,158,220,248
ENSG00000011021,169,240,312,271
ENSG00000175206,0,0,0,0
ENSG00000120937,3,0,2,16
ENSG00000116685,415.17,1587.17,2119,1107.67
ENSG00000083444,109,2437,3377.5,283.5
ENSG00000116688,328,1392,1872.5,674
ENSG00000116691,118,290,496,303
ENSG00000120949,0,2,2,0
ENSG00000028137,0,2,5,1.5
ENSG00000048707,367,941,1298,576
ENSG00000162496,74,1181.5,1811,232
ENSG00000204518,0,0,0,0
ENSG00000188984,0,0,0,0
ENSG00000157330,0,0,0,0
ENSG00000116726,0,0,0,4
ENSG00000116721,0,0.5,0,4
ENSG00000239810,0,0,0,0
ENSG00000279195,0,0,0,0
ENSG00000179172,1.72,16.52,10.84,5.49
ENSG00000120952,0,0,0,2
ENSG00000243073,0.33,0,0,0
ENSG00000187545,0,0,0.2,1.5
ENSG00000204510,0,0,0,0
ENSG00000232423,0,0,0,0
ENSG00000274764,0.33,0,0,0
ENSG00000280267,0.33,0,0,0
ENSG00000229571,0.33,0,0,0
ENSG00000277058,1.13,11.52,9.7,5.2
ENSG00000275774,1.38,14.92,11.57,5.7
ENSG00000179412,1.13,11.52,10.7,5.87
ENSG00000204505,0.33,0,0,0
ENSG00000279804,0,0,0.2,0
ENSG00000270601,0,0,0,0
ENSG00000182330,0,0,0,0
ENSG00000204501,0.33,0,0,0
ENSG00000204481,0,0.5,0,0
ENSG00000204480,0,0,0.2,0
ENSG00000204479,0,0,0,0.25
ENSG00000204478,0,0,0,0
ENSG00000162494,0,0,2,0
ENSG00000162493,0,0,0,0
ENSG00000116731,724,1349,1598,1117
ENSG00000189337,14,149,238,48
ENSG00000171729,320,713,1034,863
ENSG00000204464,0,0,0,0
ENSG00000142621,28.5,35,31,16
ENSG00000142634,978,3160.67,4142,2158.5
ENSG00000162438,3,2,6,6
ENSG00000142615,0,0,1,0
ENSG00000215704,0,0,0,0
ENSG00000132906,39,174,250,46
ENSG00000116138,163,453,519,273
ENSG00000116771,16,184,327,80
ENSG00000197312,211,405,519,406
ENSG00000215695,349,556,613,439
ENSG00000116786,465,1577,2502,973
ENSG00000162461,17,3,7,8
ENSG00000162460,0,0,2,0
ENSG00000162458,102,256,621.5,265
ENSG00000233954,14.67,138.17,166.64,45.33
ENSG00000065526,3333,4274,5469,4612
ENSG00000116809,420,368,529.5,655
ENSG00000183888,0,0,0,0
ENSG00000173641,1,0,0,1
ENSG00000186510,0,0,0,0
ENSG00000184908,0,0,3,0
ENSG00000185519,63.5,179,318.67,201.83
ENSG00000142627,5112.5,6949,11454.5,8891.5
ENSG00000142632,81,189,373,238
ENSG00000132881,65,65,125,104
ENSG00000037637,184,448,686,337
ENSG00000055070,286,1089.5,1470.5,671
ENSG00000187144,1,2,2,4.33
ENSG00000157191,191,460.5,687.5,388
ENSG00000268991,0,0,0,0
ENSG00000219481,272.09,553.66,851.76,354.9
ENSG00000237847,0,0,0,0
ENSG00000279132,0,0,0,0
ENSG00000058453,164.63,430.87,716.25,398.93
ENSG00000117122,0,1,4,0
ENSG00000159363,450,1523,2603,1002
ENSG00000117118,217,1907,2112.33,464
ENSG00000117115,4,237,185.67,18
ENSG00000142623,64,55,75,49.33
ENSG00000142619,14,137,160,18.33
ENSG00000159339,0,0,0,2.33
ENSG00000280226,0,0,0,0
ENSG00000276747,0,0,0,0
ENSG00000179051,462.67,2674.83,3457.58,1098.5
ENSG00000074964,114,477,875.5,386
ENSG00000117148,0,5,26,6
ENSG00000117154,0,0,0,0
ENSG00000179023,33,131,146,53
ENSG00000009709,9,51,87,25
ENSG00000179002,2,0,0,0
ENSG00000255275,148.5,333.5,474.5,346.5
ENSG00000159423,15,463,663,86
ENSG00000169991,207.5,439.5,646.5,510.5
ENSG00000127481,2283.5,5651.5,8158,3290
ENSG00000127463,468,2179,2973,838
ENSG00000053372,699,1529.5,1821.25,1346.5
ENSG00000211454,6.67,26.67,41.29,10.75
ENSG00000162482,3.67,25.83,21.04,12.25
ENSG00000053371,58.17,641.5,948,212
ENSG00000040487,141,299,466,326
ENSG00000077549,183,2812.5,3916.5,615
ENSG00000173436,50.5,184,223.17,105.75
ENSG00000270136,97,381.75,503.42,235.75
ENSG00000158747,38.5,198.75,280.25,106
ENSG00000158748,2,13,3,9
ENSG00000162542,4,99,93,22
ENSG00000178828,0,0,0,0
ENSG00000169914,80,103,103,98
ENSG00000188784,0,0,0,0
ENSG00000188257,1,0,0,0
ENSG00000127472,0,0,0,0
ENSG00000117215,0,0,0,0
ENSG00000158786,0,0,0,0
ENSG00000187980,0,0,0,0
ENSG00000162543,0,0,0,0
ENSG00000158816,0,0,0,0
ENSG00000162545,85,323,596,412
ENSG00000090432,248,436.5,689,527
ENSG00000183114,6,16,47,30
ENSG00000158825,26,85,287,97
ENSG00000158828,192,627,1288,537
ENSG00000244038,305.5,4255.5,5192,704.5
ENSG00000117245,67,50,65,49.33
ENSG00000189410,649,266,371,712.5
ENSG00000127483,832,3673.5,4468.5,1248.5
ENSG00000075151,176,1890,1634,406
ENSG00000117298,202,2531.5,4408,500
ENSG00000142794,56.61,225.72,243.55,74.33
ENSG00000162551,0,0,2,0
ENSG00000076864,108,1746,1331,213
ENSG00000090686,231,1012,1220.5,427
ENSG00000187942,0,0,0,0
ENSG00000142798,1506,8059.67,13189.6,5923
ENSG00000219073,0,0,0,0
ENSG00000142789,0,0,0,0
ENSG00000070831,475.33,2101.5,2544.92,765.2
ENSG00000162552,1,2,14,4
ENSG00000184677,291,604.33,802,549
ENSG00000070886,0,0,2,0
ENSG00000173372,0,0,0,0
ENSG00000159189,0,0,0,0
ENSG00000173369,0,0,0,0
ENSG00000133216,84,2189,3431.67,366.5
ENSG00000215906,1,0,0,0
ENSG00000227868,0,2,2,0
ENSG00000004487,508,2983,3387,1149
ENSG00000169641,541,1133,1485,901
ENSG00000179546,173,813,934,358
ENSG00000125944,694,5231,5923,1407.17
ENSG00000125945,167,191,209,265
ENSG00000204219,9,6,13,1
ENSG00000088280,22.5,124,160,65
ENSG00000007968,32,253,340,207
ENSG00000117318,4529,3391,4603,4623
ENSG00000197880,0,0,0,0
ENSG00000142676,1005,5960.17,5609.17,2012
ENSG00000011007,671,1187,1350,1179
ENSG00000057757,157,438,500,403
ENSG00000011009,173,573.5,866,381.67
ENSG00000117308,399,949.5,1302.75,738
ENSG00000117305,47,108,168,60
ENSG00000179163,31,176,307,59
ENSG00000188822,0,0,2,0
ENSG00000189266,545.67,385,497.5,790
ENSG00000188529,463.5,1073.33,1260,699.5
ENSG00000142661,178,539,1104,479
ENSG00000142677,25,107,219,128
ENSG00000185436,23,24,32.5,29
ENSG00000158055,8,14,11,3
ENSG00000001460,63,121,117.5,116
ENSG00000001461,24,111,168,41
ENSG00000117602,103,288,330,273
ENSG00000184454,0,0,1,0
ENSG00000133226,1489,3800,4273.5,1844
ENSG00000169504,71,735.5,1278.17,204
ENSG00000020633,67.5,259,300,138
ENSG00000117614,131,359,449,218
ENSG00000117616,1061,431,680,1146
ENSG00000187010,0,0,0,0
ENSG00000183726,83,576,742,258
ENSG00000188672,0,3,0,0
ENSG00000204178,56,332,372,128
ENSG00000157978,29,144,188,84
ENSG00000117643,0,8,6,4
ENSG00000162430,317.5,1964.17,2915.56,581.5
ENSG00000255054,25.5,117.5,161.44,43.5
ENSG00000117640,127,345,471.5,216
ENSG00000127423,104,204,164,222.5
ENSG00000182749,28,52,45,42
ENSG00000117632,326,1973,2266.5,750
ENSG00000158006,65,248,304.25,176
ENSG00000158008,0,0,0,0
ENSG00000158014,0,1,0,0
ENSG00000158022,0,0,0,0
ENSG00000175087,110,86,89,181
ENSG00000197245,0,2,0,1.5
ENSG00000142684,485,521,835,984.5
ENSG00000142675,130,25,30,117
ENSG00000188782,1,0,0,0
ENSG00000130695,254,691,765,541
ENSG00000142669,365,933.5,1244,774
ENSG00000158062,245,394,786.5,480
ENSG00000169442,0,0,0,0
ENSG00000176092,36,20,49,76
ENSG00000176083,0,0,0,0
ENSG00000131914,0,0,0,0
ENSG00000117682,92,239.5,415,235
ENSG00000198830,95.79,311.78,409.46,141.17
ENSG00000117676,83,682,969,298
ENSG00000117713,2390,3584,4289.9,3731.5
ENSG00000060642,105,176,176,105
ENSG00000204160,222,844,1014.5,565
ENSG00000175793,3569,5443,7991.5,8973
ENSG00000142751,329,348,601.5,468
ENSG00000198746,228,326,410,611
ENSG00000090273,618.83,2740.5,2919.83,1122
ENSG00000131910,0,0,0,0
ENSG00000175707,2,0,0,0
ENSG00000253368,633,633,1030,1162
ENSG00000158246,72,29,25,132
ENSG00000280403,0,0,0,0
ENSG00000090020,110,441,727,187
ENSG00000142784,31,324,453,131
ENSG00000186501,146,369,382,245
ENSG00000142765,7,20,26,6
ENSG00000142733,125.2,580,908,366
ENSG00000142748,0,0,1,0
ENSG00000174950,0,0,0,0
ENSG00000181773,135,82,138,103
ENSG00000158195,483.33,1985.67,2692.17,1096
ENSG00000126705,527,1402,2162,1836.33
ENSG00000000938,0,0,0,2
ENSG00000126709,2,52,94,24
ENSG00000009780,76,124,158,142
ENSG00000117758,43,173,253,114
ENSG00000117751,220,556,599.5,462
ENSG00000278868,0,0,0,0
ENSG00000130775,0,2,24,13
ENSG00000117748,124,532.5,634,239
ENSG00000130768,0,8,23,2
ENSG00000158156,26,66.5,179,135
ENSG00000158161,71,264,353,171
ENSG00000169403,0,5,12,0
ENSG00000126698,192,821.5,864,235
ENSG00000130770,95,399,373,214
ENSG00000130766,152,222,255,183
ENSG00000130772,103,148,219,180
ENSG00000204138,167,941,1100,323.5
ENSG00000180198,459.67,2301,2758,1101
ENSG00000180098,79,223,255,130
ENSG00000188060,2,0,8,3
ENSG00000120656,22,276,383,85
ENSG00000162419,146,339,419,371
ENSG00000198492,836,1655.5,1834,1582.5
ENSG00000116329,0,0,0,0
ENSG00000159023,21,270,297.33,25
ENSG00000253304,6,2,4,10
ENSG00000116350,307,1050,1157,463
ENSG00000116353,76,298,439,105
ENSG00000060656,66,787,1139,206
ENSG00000162510,5,4,4,7
ENSG00000162511,0,0,8,1
ENSG00000162512,26,252,336,112
ENSG00000134644,836,2010.83,2738,1362.5
ENSG00000084628,3,11,12,5
ENSG00000060688,238,1291.5,1461,506
ENSG00000121766,23,153,174,57
ENSG00000121769,0,0,0,0
ENSG00000168528,20,266,553,50
ENSG00000279468,0,0,0,0
ENSG00000142910,8,28,1,11
ENSG00000121764,0,0,1,0
ENSG00000162517,132,561,673.5,248
ENSG00000084636,64,123,353,121
ENSG00000121753,98,745,1278.5,284
ENSG00000134668,30,40,69,45
ENSG00000184007,304,1812,2166.08,591
ENSG00000121774,416,4043.5,5364.83,1026
ENSG00000121775,133,378,463,242
ENSG00000025800,190,1077,1591,457
ENSG00000084652,620,1401,1623,945
ENSG00000160050,6,19,45,14
ENSG00000160051,53,49,52,69
ENSG00000222046,1,1,0,3
ENSG00000160055,86,110,167,155
ENSG00000084623,520,2957,3404.33,870
ENSG00000183615,15,10,10,26
ENSG00000182866,0,0,0,0
ENSG00000116478,156.5,1682.5,1755.5,357
ENSG00000175130,239,972,2113,683
ENSG00000162526,6,2,6,4
ENSG00000225828,23,20,29,26
ENSG00000160058,250,612.5,947.5,518.83
ENSG00000254553,0,0,0,0
ENSG00000273274,0,0,0,0
ENSG00000160062,50,79,143,121
ENSG00000176261,72,251,278,102
ENSG00000162521,333.17,2498.73,2820.98,697
ENSG00000162520,115,188,308,339
ENSG00000162522,703,3523,5793.67,2624.17
ENSG00000134684,322,3852,4423,621
ENSG00000116497,97,364,451,257
ENSG00000160097,0,3,2,0
ENSG00000121905,0,0,2,0
ENSG00000121900,46,280,635,176
ENSG00000116514,416,842,1000,795
ENSG00000278966,0,0,0,0
ENSG00000004455,402.83,2439.33,3056.83,1026
ENSG00000142920,12,16,23.75,12
ENSG00000116525,19,51,117,29
ENSG00000160094,35,256,391,101
ENSG00000184389,3,0,1,0
ENSG00000134686,500,1026,1655.5,928.5
ENSG00000121903,157,127,143,222
ENSG00000121904,2,0,0,2
ENSG00000176256,0,0,0,0
ENSG00000142698,1,0,0,2
ENSG00000163866,129,178,237,329.5
ENSG00000189280,2,0,0,0
ENSG00000189433,2,1,8,6
ENSG00000188910,29,15,27,71
ENSG00000187513,0,0,0,0
ENSG00000116544,14,13,4,25
ENSG00000271741,41.5,143,148.5,96.92
ENSG00000243749,22,124,148,85.42
ENSG00000163867,94.5,214,240.5,170.67
ENSG00000197056,162.5,641.5,716,233
ENSG00000116560,2796,7646,8470,5047
ENSG00000146463,290,1218,1341,495.5
ENSG00000142687,183,796,1124,306
ENSG00000020129,498,680,958,921
ENSG00000116819,11,1,7,19
ENSG00000126067,397,3121,3500.5,885
ENSG00000142686,233,241,336,382
ENSG00000092853,86,1012,1020,294
ENSG00000134698,87,176,230,143
ENSG00000092847,91,559,812.5,182
ENSG00000126070,102,331,402,157
ENSG00000092850,2,0,1,0.4
ENSG00000116863,547,403,565,857
ENSG00000171812,0,0,2,2
ENSG00000054116,187.5,688,925,511
ENSG00000116871,1679.5,4466.5,6458,3092.5
ENSG00000054118,830,4383,5156,1266.53
ENSG00000214193,62,102,102,77
ENSG00000142694,24,119,153,79
ENSG00000196182,115,254,376,179
ENSG00000181817,113,330,357,201
ENSG00000116885,15,82,70,41
ENSG00000116898,209,1024,1278,425.5
ENSG00000119535,0,0,0,9
ENSG00000163873,0,0,0,0
ENSG00000163874,1713,1133,1718.33,2126
ENSG00000163875,195.5,467,573,310
ENSG00000163877,215,310,359,356
ENSG00000163879,0,2,2,0
ENSG00000134697,581,1349,1348,674
ENSG00000169218,2,0,8,2
ENSG00000116922,215,247,268,456
ENSG00000134690,142,793.5,828,426
ENSG00000183317,28,81,90,47
ENSG00000185090,185,497,619,354
ENSG00000196449,374,288,321,644
ENSG00000197982,181,439,792,460
ENSG00000188786,300,305,316,467
ENSG00000204084,71.5,272,333,113
ENSG00000183431,298,1666.5,1613.5,623.5
ENSG00000183386,69,136,221,174
ENSG00000183520,193,628,636,286
ENSG00000185668,8,0,2,18
ENSG00000116954,75.5,161.5,198.5,79
ENSG00000273637,68.17,160.83,190.17,74.33
ENSG00000214114,46.67,152.58,188.92,85.83
ENSG00000274944,41.67,146.58,180.92,81.83
ENSG00000131233,0,1,0,0
ENSG00000158315,2,9,29,8
ENSG00000174574,206,339,358,482.83
ENSG00000168653,191.5,774,890.5,452.5
ENSG00000127603,2763.5,4918,6622.35,3296
ENSG00000183682,6.8,37.5,54,22
ENSG00000090621,1400.5,4331.33,5356.67,2556.5
ENSG00000163909,66,79,124,108
ENSG00000116981,0,0,0,0
ENSG00000116983,0,0,6,0
ENSG00000084072,123.33,531.5,586.5,213
ENSG00000116985,20.2,146.5,227,87.5
ENSG00000198754,20,21,25,39.5
ENSG00000043514,179,286,339,206
ENSG00000116990,21,24,53,38
ENSG00000168389,83,70,114,159
ENSG00000131236,432,3636,4505.33,780.83
ENSG00000131238,72,785,910,118
ENSG00000117000,384,810,907,603
ENSG00000188800,2,0,2,0
ENSG00000084073,193,1335.17,1662,368
ENSG00000049089,8,2,8,4
ENSG00000084070,32,253,320,94
ENSG00000187801,28,63,80,44
ENSG00000187815,0,0,0,0
ENSG00000164002,19,28,42,38
ENSG00000117010,17,46,47,29
ENSG00000117016,2,41,37,9
ENSG00000066136,261,1121.5,1169,521.5
ENSG00000117013,3,0,11,4
ENSG00000179862,143,68,128,293
ENSG00000171793,821,2359,2670,1487
ENSG00000171790,2,0,0,4
ENSG00000010803,52,362,396.5,113
ENSG00000204060,39,14,31,68
ENSG00000127129,254,141,174,539
ENSG00000127124,155,196,359,218
ENSG00000044012,0,0,6,0
ENSG00000197273,1,0,0,0
ENSG00000198815,322,954,1026,596
ENSG00000177181,0,50,55,16
ENSG00000066185,4,1,7,0
ENSG00000127125,157,534.5,695,311.5
ENSG00000186409,4,10,4,4
ENSG00000171960,98,490.5,654.5,256
ENSG00000065978,951.37,5957.33,6323.9,1759.08
ENSG00000164007,2,0,0,0
ENSG00000117385,177,870,1409,388
ENSG00000164008,62,72,89,67
ENSG00000177868,18,61,58,23
ENSG00000164010,23,106.14,198,56
ENSG00000164011,123,137,169,282
ENSG00000117394,718,4490.5,5575.5,1332
ENSG00000186973,0,0,3,4
ENSG00000117395,598,2688,3051,1080
ENSG00000243710,5,16,8,10
ENSG00000179178,0,0,0,0
ENSG00000253313,0,0,0,0
ENSG00000066056,0,0,0,0
ENSG00000117400,1,1,1,0
ENSG00000117399,1014,4617,5886.5,2570
ENSG00000066322,805,1320,1807,1345
ENSG00000159479,227,424,608.5,395
ENSG00000198198,1076,961,1578.5,1403
ENSG00000178922,30,49,119,79
ENSG00000142949,1425,9676.5,20566,3042.5
ENSG00000066135,364.5,887,1173,574
ENSG00000126091,4,52,101,19
ENSG00000117407,0,3,2,0
