Geneid,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK021_22F,AK029_30F,AK034F,AK098F,AK102F,AK117F,AK123F,AK133F,AK134F,AK135F,AK136F,AK137F,AK138F
ENSG00000186092,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,0.42,0.25,0,0,0,0.12,0,0,0,1.57,0.77,0.84,0.43,0,0.14,0.25,0,0.25,0.12,0,0,0,0.5
ENSG00000279457,51.69,72.43,78.73,41.88,12.39,72.43,54.35,70.94,84.45,344.4,236.58,181,55.07,150.02,48.62,78.39,31.27,186.23,90.8,48.32,37.37,91.43,129.8
ENSG00000278566,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273547,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187634,185,301,427,116.5,18,359.33,277,323,372,1146.14,850,614,157,495.5,159,366,173,730,407.5,96,84.25,209.5,173
ENSG00000188976,300.6,291.2,486,138,41.17,1216.85,810.67,1200.7,1081.03,1288.41,1305.33,1314,358.37,2095.66,334.5,1423.66,373.17,1086.8,547,87,376.6,1032.56,1121.37
ENSG00000187961,20.33,36,39,24,5,42,11,31.33,25,224.33,118,93,16,65.25,22.5,21,17,55,28,14.25,17,27,44
ENSG00000187583,10,15,28,6,1,26,26,38,30,102.14,59,54,23,51.5,15,32,9,28,27,9,12,35,51
ENSG00000187642,1.12,5,0,1,0,0,0,0,0,6,2,4.5,0,0,0,0,0,1,1,2,0,1,1
ENSG00000188290,375,565,665.5,244,124,260,291,288,467,3460,1519,1152.5,432,633,472,340,288,1251,996,633,230,599.33,1207
ENSG00000187608,46,97,116,21,311,63,76,69,2171,11162,141,170,2635,173,85,72,1254,201,105,4028,88.5,112,14030.5
ENSG00000188157,3226.5,2276.33,3325,697,120,4779,4166.25,5463.5,4438.12,12656,8918.36,6096,2798.5,9077.5,2192,4215,1115,9348.83,2453,800.12,1672,3783,3173
ENSG00000237330,1,0,0,0,0,0.5,0,0,1,23,11.5,8.33,1,4,4,1,8,2,6,10,0,0,25
