,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK020_21F,AK029_30F,AK034F
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,0,0,0,0,0,0,0,0,0,2,1,1,0
ENSG00000279457,52,72,79,42,12,72,54,71,84,344,237,181,55
ENSG00000278566,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273547,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187634,185,301,427,116,18,359,277,323,372,1146,850,614,157
ENSG00000188976,301,291,486,138,41,1217,811,1201,1081,1288,1305,1314,358
ENSG00000187961,20,36,39,24,5,42,11,31,25,224,118,93,16
ENSG00000187583,10,15,28,6,1,26,26,38,30,102,59,54,23
ENSG00000187642,1,5,0,1,0,0,0,0,0,6,2,4,0
ENSG00000188290,375,565,666,244,124,260,291,288,467,3460,1519,1152,432
ENSG00000187608,46,97,116,21,311,63,76,69,2171,11162,141,170,2635
ENSG00000188157,3226,2276,3325,697,120,4779,4166,5464,4438,12656,8918,6096,2798
ENSG00000237330,1,0,0,0,0,0,0,0,1,23,12,8,1
ENSG00000131591,94,85,94,38,3,82,81,63,68,331,160,166,68
ENSG00000162571,0,0,0,0,0,0,0,1,0,1,0,1,0
ENSG00000186891,1,1,0,0,0,0,0,1,0,2,0,0,0
ENSG00000186827,0,0,0,0,0,1,0,0,0,2,1,3,0
ENSG00000078808,1073,825,1166,198,27,1240,1362,1403,1431,2615,2012,2059,745
ENSG00000176022,211,165,279,159,7,179,217,217,217,1086,710,920,146
ENSG00000184163,2,4,5,6,1,6,7,0,3,29,12,8,0
ENSG00000160087,278,221,389,160,23,301,307,389,369,1107,736,970,252
ENSG00000162572,8,4,3,2,26,0,0,5,0,13,12,11,2
ENSG00000131584,65,94,88,19,4,106,99,99,96,366,235,178,55
ENSG00000169972,125,136,177,66,7,130,122,152,114,364,247,280,77
ENSG00000127054,262,307,413,134,34,685,623,760,734,1433,1170,931,297
ENSG00000224051,142,138,189,50,8,115,116,96,100,463,308,389,81
ENSG00000169962,0,1,2,1,0,0,1,0,0,13,1,7,2
ENSG00000107404,131,156,178,98,19,148,102,158,105,1228,582,450,124
ENSG00000162576,0,0,1,0,0,0,0,0,1,5,2,1,1
ENSG00000175756,1353,1576,2036,484,32,1478,1607,1581,1594,4258,3212,3560,927
ENSG00000221978,114,177,184,128,42,164,175,236,214,1028,695,645,120
ENSG00000242485,1042,1004,1309,372,34,1262,1238,1336,1360,3498,2182,2464,808
ENSG00000235098,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000205116,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000179403,305,228,350,35,4,381,377,366,382,768,524,597,203
ENSG00000215915,25,33,54,4,0,72,39,66,69,84,100,79,34
ENSG00000160072,46,58,94,15,2,136,103,138,131,189,221,165,55
