Geneid,AK006M,AK007M,AK008M,AK010M,AK012M,AK014M,AK016M,AK017M,AK018M,AK021M,AK019M,AK029M,AK034M,AK098M,AK102M,AK117M,AK123M,AK133M,AK134M,AK135M,AK136M,AK137M,AK138M
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0
ENSG00000279928,2,8,6,0,0,5,4,9,0,3,5,4,4,13.45,9.02,13.66,8.51,19.8,37.33,8.86,28.08,7.63,8.55
ENSG00000279457,45,490,478,37,41,326,381,471,102,457,255,560,993,512.48,779.51,380.24,545.35,713.35,1480.91,822.37,719.75,273.4,1136.07
ENSG00000278566,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33,0.25,0.38,0.2,2.08,2.87,0,0,0
ENSG00000273547,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33,0.25,0.38,0.2,1.08,2.54,0,0,0
ENSG00000187634,69,1000,836,30,20,1832,436,2008,378,1147,915,610,773,1711.5,1605,1731.17,2027.5,2664.75,4193.33,1124,1776.5,503,1136
ENSG00000188976,49,735,799,52,28,2722,1147,3137,491,1144,910,840,1468,4059,2658.17,2959.83,2435.83,2224.83,4567.08,1457.33,4393,1745.33,3946.33
ENSG00000187961,9,145,162,10,7,147,35,151,26,238,139,109,179,260,463,182,287,324,609.5,217,295,75,324
ENSG00000187583,3,29,32,4,3,23,9,35,12,28,16,15,30,93,195,67,90,84.25,173,66,108,36,145
ENSG00000187642,0,0,0,0,0,4,2,0,0,14,9,3,2,3,6.5,6,14,4,20,67,4,4,1
ENSG00000188290,49,434,434,40,25,817,136,715,204,1078,734,414,804,711,1187.5,708,1417,1353,2782.25,1989,1315,362,1713
ENSG00000187608,3,52,50,1,76,98,30,127,638,3174,50,32,2100,128,119,85,3073,113,217,8275.5,171,65,9096
ENSG00000188157,138,1942,1953,203,147,3722,1193,4832,897,4030,2251,2080,2758,8503.5,8939.5,8304.5,8664.75,11296,16806.42,9448.25,12156,4037,10396
ENSG00000237330,0,2,2,0,0,0,1,1,2,8,3,5,1,0,5,5,39,12,22,60,5,2,45
ENSG00000131591,19,164,172,6,3,164,122,177,46,94,97,100,208,322.75,376.75,246.5,244,452.75,854,144,484.87,177,287
ENSG00000162571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,1
ENSG00000186891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000186827,0,1,0,0,0,1,0,0,0,1,3,1,1,2,2,0,3,1,7,13,2,1,1
ENSG00000078808,95,729,738,21,9,1808,834,2010,308,844,592,507,1010,3743,2525.17,2850.67,2155,4681.33,6328.5,782.25,5466.67,2175,2898
ENSG00000176022,12,119,119,11,9,377,61,354,66,317,269,150,131,317,474,294,420,580,1258,256,642,173,164
ENSG00000184163,0,4,6,0,3,7,2,11,0,13,5,5,6,6.5,12,9.5,16,15.5,30,23,22,8.5,5
ENSG00000160087,60,388,452,22,10,817,336,991,179,652,398,341,536,1639.33,1823.75,1207.33,1309.75,2548.25,4162.67,703.67,2608.5,946,2051.58
ENSG00000162572,0,13,9,0,0,19,4,27,7,28,20,16,25,29,67,29,46.25,69,165.5,51.75,43,19,74
ENSG00000131584,7,207,210,10,3,289,112,358,63,266,122,111,254,565,554,413,415,725.25,1039.75,284.5,754.5,230,574
ENSG00000169972,21,205,192,12,2,401,73,484,70,186,179,103,168,501,461,318,309,643,936,97,708.5,238,333
ENSG00000127054,62,801,826,42,23,1302,928,1630,252,682,546,708,1244,1697,1454.67,1494.5,1187.5,1657,3044.5,772.5,2270.3,799,2162.42
ENSG00000224051,11,181,159,4,0,218,134,224,27,123,112,145,160,432,533,355,364,606,1167,132,611.5,222,248
ENSG00000169962,0,2,4,2,1,3,0,4,0,7,7,4,5,5,5,9,8,14,20,28,10,5,11
ENSG00000107404,82,802,830,29,18,1503,394,1590,263,986,684,631,820,2515,3037.5,1622,1746,3136.5,5391.5,775.5,3815,1148,1697.75
ENSG00000162576,1,3,0,2,2,0,0,0,0,2,1,0,0,1,1,1,8,3.25,16,11,5,1,1
ENSG00000175756,149,918,999,41,17,1983,637,2419,333,1109,887,643,767,3277,2793,2359,2301.5,4753.5,7055.5,943,5011.17,2092,2688
ENSG00000221978,60,690,691,70,41,672,258,1115,111,1201,575,481,745,1251.5,2535.5,1122,1548.75,2421.5,4697.5,2557.75,1942.5,693,1557
ENSG00000242485,250,884,914,52,21,2206,916,2212,348,1170,867,571,934,2190.33,1937,1806,1411,3559,4831,876.5,3367,1525,1955
ENSG00000235098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,0,1
ENSG00000205116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
ENSG00000179403,5,70,104,2,1,483,57,544,97,138,149,64,106,336,222,300,328.52,575.52,764,37,658,222,278
ENSG00000215915,1,27,36,1,0,28,37,51,5,14,12,29,46,93.07,85.19,67.32,64.62,71.42,139.47,22.17,108.27,41.92,71.95
ENSG00000160072,3,88,79,2,1,143,109,232,34,76,60,83,165,322.56,220.73,208.08,173.7,253.11,473.53,72.42,403.85,148.29,284.89
ENSG00000197785,18,325,361,20,7,783,393,804,141,400,272,288,562,1240.52,1018.48,898.58,770.9,1041.18,1919.72,305.08,1546.97,599.79,1068.14
ENSG00000205090,0,2,3,0,0,0,2,3,0,6,3,2,4,3,8,2,6,12,19,14,10,2,4
ENSG00000160075,246,1638,1700,58,22,1516,1501,2180,259,1420,623,952,1416,4412.5,3986.5,3765.5,2933,7627,9617.25,1401.5,7713,3081,3968
ENSG00000279244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
ENSG00000228594,13,135,121,3,0,62,31,84,10,34,17,43,57,133,93,86,61,241,230,11.08,288,90,81
ENSG00000197530,20,202,215,10,8,246,115,340,54,226,145,159,301,514,516,395,453.5,657.67,1120.5,520.5,725.5,203,554
ENSG00000189409,0,1,4,0,0,2,0,6,0,6,6,1,8,3.5,9,7.5,6,9.5,25.67,13,6,1.5,7
ENSG00000248333,37,188,185,41,32,152,166,229,68,354,138,205,247,778.98,877.84,694.8,678.24,862.76,1753.2,1258.6,1157.59,437.79,1454.86
ENSG00000189339,17,91,78,8,12,200,50,210,32,184,77,55,69,299.65,343,289.48,264.08,554.99,755.15,214.28,495.33,147.5,293.57
ENSG00000008128,26,159,152,23,16,103,99,180,45,253,95,212,177,600.68,773.98,443.36,577.91,631.48,1360.05,1153.51,831.9,333.21,1216.93
ENSG00000215790,11,98,85,8,3,142,50,174,30,130,69,47,83,248.68,289.49,207.86,183.92,428.67,547.44,133.15,391.33,123,234.97
ENSG00000008130,51,544,618,21,14,913,354,1049,147,686,426,446,607,1731.5,1775.33,1251.5,1200.5,2409.5,3288.5,746,2361.5,812,1349
ENSG00000078369,382,1985,2094,90,38,2632,2220,3027,467,1702,766,1116,1986,8215.47,5649.47,7057.33,4511.27,11853.6,13038.1,1450,11991.83,5018.93,7597.83
ENSG00000169885,0,2,3,0,0,0,2,0,0,2,1,2,3,0,3,0,1,1,4,1,9,4,0
ENSG00000178821,0,24,21,1,0,13,14,29,3,11,6,14,10,38,32,14,13,40,66,13,48,17,27
ENSG00000142609,0,2,1,0,1,3,1,1,0,4,0,1,1,4,6,3,2,16,11,13,2,0,3
ENSG00000187730,0,2,5,0,0,14,1,25,1,7,2,2,3,23,12,14,12,28,43,5,23,3,10
ENSG00000067606,13,212,216,7,5,325,251,372,58,117,88,127,428,727,484.5,476.5,348,660.83,955,110.5,801.67,331,636.5
ENSG00000162585,41,329,322,13,8,213,200,254,38,189,96,188,264,1191.67,1245.67,848,784.67,2025.83,2848.83,354,2077.5,611,927.67
ENSG00000157933,29,201,244,27,13,234,141,377,46,353,190,278,190,1515,1862,1499,1764,2140,4521.5,1107,2892.5,918,1489.5
ENSG00000116151,17,107,123,11,6,131,120,195,24,128,94,82,162,297,293,186.5,203.5,411.5,722,205,438,150,340
ENSG00000157916,144,630,608,33,6,2198,764,2152,349,880,710,347,659,2594,1822.5,2069.17,1508.5,3605.67,4688.83,593.33,3740.5,1405.5,2097
ENSG00000157911,10,170,191,7,3,485,115,546,80,244,211,112,196,560,500,394,404,843.33,1122.5,147,935.17,246,409
ENSG00000149527,1,9,15,1,1,14,10,28,3,14,10,10,19,28,33,15,20,44,93,26,63,22,58
ENSG00000157881,18,144,180,17,14,294,152,288,70,297,171,196,284,433,527.75,326,435,390,1081,476,528.25,179,785.25
ENSG00000197921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157873,0,1,2,0,0,2,0,3,0,2,0,0,0,0,1,1,3,4,9,1,4,0,5
ENSG00000157870,6,46,54,1,2,144,24,157,20,50,53,29,70,282,225,200,193,369.67,512.5,27,394.17,139,163
ENSG00000142606,19,0,0,6,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0.25,0,0.25,0,1.25
ENSG00000215912,0,3,2,0,0,1,0,1,0,4,2,1,2,5,15,4,1,7,19,6.5,8,2,2
ENSG00000169717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142611,1,8,4,0,0,3,4,4,2,8,6,10,2,35,24,13,14,33,49,9,21,11,15
ENSG00000130762,5,91,91,2,2,125,79,262,48,67,48,52,112,224,170,185,144,233.5,354,34,406,179,384
