ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1"
ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ACACB,acetyl-CoA carboxylase beta
ACKR3,atypical chemokine receptor 3
ACSL4,acyl-CoA synthetase long-chain family member 4
ADAM15,ADAM metallopeptidase domain 15
ADAM17,ADAM metallopeptidase domain 17
ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary)
ADIPOQ,"adiponectin, C1Q and collagen domain containing"
ADIPOR1,adiponectin receptor 1
ADM,adrenomedullin
ADORA3,adenosine A3 receptor
ADRA1A,adrenoceptor alpha 1A
ADRA1B,adrenoceptor alpha 1B
ADRA2A,adrenoceptor alpha 2A
ADRA2B,adrenoceptor alpha 2B
ADRA2C,adrenoceptor alpha 2C
ADRB2,"adrenoceptor beta 2, surface"
ADRBK1,"adrenergic, beta, receptor kinase 1"
AGER,advanced glycosylation end product-specific receptor
AGO2,argonaute RISC catalytic component 2
AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
AGTR1,"angiotensin II receptor, type 1"
AGTR2,"angiotensin II receptor, type 2"
AIF1,allograft inflammatory factor 1
AIMP1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
AIMP2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
AKAP13,A kinase (PRKA) anchor protein 13
AKT1,v-akt murine thymoma viral oncogene homolog 1
AKT2,v-akt murine thymoma viral oncogene homolog 2
ALOX12,arachidonate 12-lipoxygenase
ALOX15,arachidonate 15-lipoxygenase
ALOX5,arachidonate 5-lipoxygenase
ANGPT1,angiopoietin 1
ANGPT2,angiopoietin 2
ANXA1,annexin A1
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1
APLN,apelin
APLNR,apelin receptor
APOA1,apolipoprotein A-I
APOBEC3G,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"
APOH,apolipoprotein H (beta-2-glycoprotein I)
APP,amyloid beta (A4) precursor protein
