ADAR,103,ADAR,adenosine deaminase RNA specific [Source...
B2M,567,B2M,beta-2-microglobulin [Source:HGNC Symbol...
BATF2,116071,BATF2,basic leucine zipper ATF-like transcript...
BST2,684,BST2,bone marrow stromal cell antigen 2 [Sour...
C1S,716,C1S,complement C1s [Source:HGNC Symbol;Acc:H...
CASP1,834,CASP1,caspase 1 [Source:HGNC Symbol;Acc:HGNC:1...
CASP8,841,CASP8,caspase 8 [Source:HGNC Symbol;Acc:HGNC:1...
CCRL2,9034,CCRL2,C-C motif chemokine receptor like 2 [Sou...
CD47,961,CD47,CD47 molecule [Source:HGNC Symbol;Acc:HG...
CD74,972,CD74,CD74 molecule [Source:HGNC Symbol;Acc:HG...
CMPK2,129607,CMPK2,cytidine/uridine monophosphate kinase 2 ...
CNP,1267,CNP,"2',3'-cyclic nucleotide 3' phosphodieste..."
CSF1,1435,CSF1,colony stimulating factor 1 [Source:HGNC...
CXCL10,3627,CXCL10,C-X-C motif chemokine ligand 10 [Source:...
CXCL11,6373,CXCL11,C-X-C motif chemokine ligand 11 [Source:...
DDX60,55601,DDX60,DExD/H-box helicase 60 [Source:HGNC Symb...
DHX58,79132,DHX58,DExH-box helicase 58 [Source:HGNC Symbol...
EIF2AK2,5610,EIF2AK2,eukaryotic translation initiation factor...
ELF1,1997,ELF1,E74 like ETS transcription factor 1 [Sou...
EPSTI1,94240,EPSTI1,epithelial stromal interaction 1 [Source...
FAM125A,93343,MVB12A,multivesicular body subunit 12A [Source:...
FAM46A,55603,TENT5A,terminal nucleotidyltransferase 5A [Sour...
FTSJD2,23070,CMTR1,cap methyltransferase 1 [Source:HGNC Sym...
GBP2,2634,GBP2,guanylate binding protein 2 [Source:HGNC...
GBP4,115361,GBP4,guanylate binding protein 4 [Source:HGNC...
GMPR,2766,GMPR,guanosine monophosphate reductase [Sourc...
HERC6,55008,HERC6,HECT and RLD domain containing E3 ubiqui...
HLA-C,3107,HLA-C,"major histocompatibility complex, class ..."
IFI27,3429,IFI27,interferon alpha inducible protein 27 [S...
IFI30,10437,IFI30,IFI30 lysosomal thiol reductase [Source:...
IFI35,3430,IFI35,interferon induced protein 35 [Source:HG...
IFI44,10561,IFI44,interferon induced protein 44 [Source:HG...
IFI44L,10964,IFI44L,interferon induced protein 44 like [Sour...
IFIH1,64135,IFIH1,interferon induced with helicase C domai...
IFIT2,3433,IFIT2,interferon induced protein with tetratri...
IFIT3,3437,IFIT3,interferon induced protein with tetratri...
IFITM1,8519,IFITM1,interferon induced transmembrane protein...
IFITM2,10581,IFITM2,interferon induced transmembrane protein...
IFITM3,10410,IFITM3,interferon induced transmembrane protein...
IL15,3600,IL15,interleukin 15 [Source:HGNC Symbol;Acc:H...
IL4R,3566,IL4R,interleukin 4 receptor [Source:HGNC Symb...
IL7,3574,IL7,interleukin 7 [Source:HGNC Symbol;Acc:HG...
IRF1,3659,IRF1,interferon regulatory factor 1 [Source:H...
IRF2,3660,IRF2,interferon regulatory factor 2 [Source:H...
IRF7,3665,IRF7,interferon regulatory factor 7 [Source:H...
IRF9,10379,IRF9,interferon regulatory factor 9 [Source:H...
ISG15,9636,ISG15,ISG15 ubiquitin like modifier [Source:HG...
ISG20,3669,ISG20,interferon stimulated exonuclease gene 2...
LAMP3,27074,LAMP3,lysosomal associated membrane protein 3 ...
